"year","month","mintemp","maxtemp","meantemp","precipitation","locally_measured","battery_low","warm_days","cool_precip","warm_precip","anomaly_ppt","anomaly_mint","anomaly_maxt","anomaly_meant"
1980,1,0.793548387096774,14.0516129032258,5.51290322580645,15.24,FALSE,NA,4.83870967741935,2.17129032258065,2.21225806451613,0.666666666666667,2.29354838709677,-1.2483870967742,-1.38709677419355
1980,2,3.41379310344828,16.448275862069,7.18965517241379,30.226,TRUE,NA,16.9310344827586,25.5051034482759,9.51186206896552,1.54371807967314,3.51379310344828,-1.15172413793104,-1.61034482758621
1980,3,4.01612903225806,18.9677419354839,10.2677419354839,5.08,TRUE,NA,34.1612903225806,30.988,17.9192903225806,0.31358024691358,1.71612903225807,-2.03225806451613,-1.43225806451613
1980,4,7.76666666666667,24.5666666666667,15.9166666666667,0.508,TRUE,NA,52.0333333333333,30.988,19.6596,0.0579908675799087,2.46666666666667,-0.833333333333332,0.516666666666666
1980,5,11.5322580645161,28.6935483870968,21.7870967741935,0.508,TRUE,NA,80.741935483871,30.988,20.5658064516129,0.0694938440492476,1.53225806451613,-1.50645161290322,1.68709677419355
1980,6,19.0666666666667,37.7,29.8733333333333,10.922,TRUE,NA,110.5,30.988,27.6521333333333,0.969121561668146,4.16666666666667,3.2,5.17333333333334
1980,7,20.9354838709677,35.8064516129032,25.5258064516129,60.706,TRUE,NA,141,30.988,69.4567096774194,0.808120340788072,2.73548387096774,1.60645161290322,-0.674193548387095
1980,8,18.6774193548387,32.1451612903226,23.5870967741935,54.102,TRUE,NA,172,30.988,126.713225806452,0.832466533312817,1.27741935483871,-0.254838709677415,-1.31290322580645
1980,9,16.5,30.6,19.5,58.674,TRUE,NA,202.5,30.988,171.466933333333,1.82160819621236,2.2,-0.299999999999997,-3.1
1980,10,9.38709677419355,23.8548387096774,11.8677419354839,1.778,TRUE,NA,231.483870967742,31.6844516129032,205.28935483871,0.0560883280757098,1.38709677419355,-2.34516129032258,-5.23225806451613
1980,11,3.74333333333333,18.3966666666667,5.4,14.478,TRUE,NA,253.333333333333,39.497,205.486,0.699082568807339,1.94333333333333,-1.70333333333333,-5.5
1980,12,2.79032258064516,17.9193548387097,3.60967741935484,2.286,TRUE,NA,266.870967741935,48.2108387096774,205.486,0.0704251386321627,4.49032258064516,2.81935483870968,-3.09032258064516
1981,1,1.6258064516129,13.6258064516129,4.33548387096774,30.226,TRUE,NA,274.774193548387,52.9303225806452,215.932774193548,1.32222222222222,3.1258064516129,-1.6741935483871,-2.56451612903226
1981,2,3.64285714285714,18.875,8.52857142857143,10.668,TRUE,NA,269.535714285714,34.9522142857143,219.719071428571,0.544841675178754,3.74285714285714,1.275,-0.271428571428572
1981,3,4.76129032258065,18.0903225806452,9.83548387096774,34.036,TRUE,NA,268.258064516129,55.0688387096774,219.292129032258,2.10098765432099,2.46129032258065,-2.90967741935484,-1.86451612903226
1981,4,10.0333333333333,26.1166666666667,18.5433333333333,10.414,TRUE,NA,275.533333333333,64.516,222.131466666667,1.18881278538813,4.73333333333333,0.716666666666669,3.14333333333333
1981,5,10.3806451612903,28.5225806451613,22.4766666666667,3.048,TRUE,NA,276.064516129032,65.024,223.372516129032,0.416963064295486,0.380645161290323,-1.67741935483871,2.37666666666667
1981,6,12.7433333333333,35.3566666666667,28.6333333333333,77.724,TRUE,NA,274,65.024,225.230266666667,6.89653948535936,-2.15666666666667,0.856666666666669,3.93333333333333
1981,7,13.8838709677419,32.4741935483871,23.9774193548387,81.28,TRUE,NA,274,65.024,279.59664516129,1.08200212992545,-4.31612903225806,-1.7258064516129,-2.22258064516129
1981,8,13.9612903225806,33.5645161290323,23.8935483870968,15.494,TRUE,NA,274,65.024,286.888903225806,0.238405908601323,-3.43870967741935,1.16451612903226,-1.00645161290322
1981,9,12.2066666666667,31.75,19.2933333333333,56.134,TRUE,NA,274,65.024,276.800733333333,1.74275069854083,-2.09333333333333,0.850000000000001,-3.30666666666667
1981,10,7.10645161290323,26.9935483870968,13.5129032258065,25.146,TRUE,NA,271.096774193548,64.3275483870968,291.960709677419,0.793249211356467,-0.893548387096774,0.793548387096774,-3.58709677419355
1981,11,4.48,22.12,7.44333333333333,1.016,TRUE,NA,266.466666666667,57.3278,297.18,0.0490584258812168,2.68,2.02,-3.45666666666667
1981,12,0.967741935483871,16.4838709677419,4.78064516129032,33.528,TRUE,NA,264.161290322581,78.6416774193548,297.507741935484,1.03290203327172,2.66774193548387,1.38387096774194,-1.91935483870968
1982,1,-0.145161290322581,13.5806451612903,4.54516129032258,25.654,TRUE,NA,254.58064516129,85.9749032258065,289.36335483871,1.12222222222222,1.35483870967742,-1.71935483870968,-2.35483870967742
1982,2,1.53571428571429,15.4821428571429,7.4,10.668,TRUE,NA,251.75,91.8482142857143,281.1145,0.544841675178754,1.63571428571429,-2.11785714285714,-1.4
1982,3,3.54838709677419,19.1451612903226,12.4,21.59,TRUE,NA,250.161290322581,82.1157419354839,277.392580645161,1.33271604938272,1.24838709677419,-1.85483870967742,0.700000000000001
1982,4,7.09,23.8166666666667,18.62,4.572,TRUE,NA,241.966666666667,81.026,276.622933333333,0.521917808219178,1.79,-1.58333333333333,3.22
1982,5,11.1935483870968,27.3870967741935,22.2741935483871,10.668,TRUE,NA,241.193548387097,80.518,284.988,1.4593707250342,1.19354838709677,-2.81290322580645,2.17419354838709
1982,6,15.8333333333333,33.9,28.1833333333333,4.318,TRUE,NA,244,80.518,277.105533333333,0.383141082519964,0.933333333333334,-0.600000000000001,3.48333333333333
1982,7,17.658064516129,32.458064516129,25.8129032258065,33.02,TRUE,NA,244,80.518,202.74935483871,0.439563365282215,-0.541935483870969,-1.74193548387097,-0.387096774193548
1982,8,17.4032258064516,31.0967741935484,23.758064516129,72.644,TRUE,NA,244,80.518,187.861677419355,1.11777196491768,0.00322580645161352,-1.30322580645161,-1.14193548387097
1982,9,14.3833333333333,29.05,21.2633333333333,66.802,TRUE,NA,244,80.518,237.49,2.07395218876125,0.0833333333333321,-1.85,-1.33666666666667
1982,10,7.80645161290323,25.2903225806452,14.6193548387097,0,TRUE,NA,245.967741935484,80.518,209.377935483871,0,-0.193548387096774,-0.909677419354839,-2.48064516129032
1982,11,3.11666666666667,15.2666666666667,6.99333333333333,67.056,TRUE,NA,248.633333333333,93.3873333333333,217.000666666667,3.23785610816031,1.31666666666667,-4.83333333333333,-3.90666666666667
1982,12,-0.838709677419355,9.5,2.02903225806452,140.678,TRUE,NA,244.451612903226,181.046967741935,221.414258064516,4.33388786198398,0.861290322580645,-5.6,-4.67096774193548
1983,1,-2.2258064516129,11.1516129032258,2.71290322580645,6.364,FALSE,NA,243.677419354839,228.302903225806,216.776709677419,0.278390201224847,-0.725806451612903,-4.14838709677419,-4.18709677419355
1983,2,-0.510714285714286,13.7785714285714,7.48888888888889,24.892,TRUE,NA,242.5,242.001714285714,213.858928571429,1.27129724208376,-0.410714285714286,-3.82142857142857,-1.31111111111111
1983,3,1.81612903225806,15.5258064516129,10.4096774193548,32.766,TRUE,NA,236.58064516129,237.293935483871,220.726,2.02259259259259,-0.483870967741935,-5.4741935483871,-1.29032258064516
1983,4,2.83333333333333,17.7333333333333,13.2733333333333,9.398,TRUE,NA,228.133333333333,249.768066666667,217.424,1.07283105022831,-2.46666666666667,-7.66666666666666,-2.12666666666667
1983,5,9.64516129032258,27.4129032258065,21.6677419354839,0.254,TRUE,NA,225,251.944,206.944451612903,0.0347469220246238,-0.35483870967742,-2.78709677419355,1.56774193548387
1983,6,14.1833333333333,31.9,27.1133333333333,0,TRUE,NA,225,251.944,206.104066666667,0,-0.716666666666667,-2.6,2.41333333333333
1983,7,16.5483870967742,32.0806451612903,25.4935483870968,88.9,TRUE,NA,225,251.944,224.839161290323,1.18343982960596,-1.65161290322581,-2.11935483870968,-0.706451612903226
1983,8,19.3064516129032,32.1935483870968,24.0096774193548,4.572,TRUE,NA,225,251.944,226.936709677419,0.0703492845053085,1.90645161290323,-0.206451612903223,-0.890322580645162
1983,9,17.12,29.6466666666667,21.2344827586207,128.868,TRUE,NA,225,251.944,177.772533333333,4.00086929524992,2.82,-1.25333333333333,-1.36551724137931
1983,10,12.4032258064516,23.1290322580645,13.858064516129,89.408,TRUE,NA,227.451612903226,251.944,324.488967741935,2.82044164037855,4.40322580645161,-3.07096774193548,-3.24193548387097
1983,11,5.76666666666667,18.4866666666667,7.29666666666667,45.72,TRUE,NA,235.433333333333,245.399266666667,346.664533333333,2.20762916465476,3.96666666666667,-1.61333333333333,-3.60333333333333
1983,12,0.987096774193548,14.5806451612903,5.48387096774194,27.432,TRUE,NA,237.516129032258,169.096709677419,343.932258064516,0.845101663585952,2.68709677419355,-0.519354838709678,-1.21612903225806
1984,1,-0.290322580645161,12.258064516129,4.16774193548387,25.7,TRUE,NA,239.548387096774,129.868129032258,347.209677419355,1.12423447069116,1.20967741935484,-3.04193548387097,-2.73225806451613
1984,2,-0.0517241379310345,15.7758620689655,7.58275862068966,0,TRUE,NA,239.034482758621,108.539034482759,347.246689655172,0,0.0482758620689655,-1.82413793103448,-1.21724137931035
1984,3,4.61290322580645,20.0483870967742,13.6935483870968,0,TRUE,NA,241.516129032258,97.2952258064516,336.07464516129,0,2.31290322580645,-0.951612903225808,1.99354838709677
1984,4,6.23333333333333,22.15,17.13,3.556,TRUE,NA,254.133333333333,77.4482666666667,338.206333333333,0.405936073059361,0.933333333333334,-3.25,1.73
1984,5,13.6483870967742,30.2741935483871,25.8387096774194,2.54,TRUE,NA,254.451612903226,75.8772903225806,339.958387096774,0.347469220246238,3.64838709677419,0.0741935483870968,5.73870967741935
1984,6,15.5966666666667,30.2333333333333,24.4433333333333,21.336,TRUE,NA,254,75.992,348.823533333333,1.89316770186335,0.696666666666667,-4.26666666666667,-0.256666666666668
1984,7,15.8967741935484,30.5032258064516,23.8129032258065,39.878,TRUE,NA,254,75.992,343.719225806452,0.530857294994675,-2.30322580645161,-3.69677419354839,-2.38709677419355
1984,8,15.2032258064516,28.3322580645161,22.4548387096774,78.486,TRUE,NA,254,75.992,350.954129032258,1.20766271734113,-2.19677419354839,-4.06774193548387,-2.44516129032258
1984,9,13.47,28.1333333333333,20.2466666666667,23.368,TRUE,NA,253.966666666667,75.992,358.237533333333,0.725488978578081,-0.83,-2.76666666666667,-2.35333333333334
1984,10,5.56774193548387,19.2258064516129,11.6451612903226,55.88,TRUE,NA,248.193548387097,80.1870967741935,233.008129032258,1.76277602523659,-2.43225806451613,-6.9741935483871,-5.45483870967742
1984,11,3.63333333333333,17.2833333333333,6.2,18.796,TRUE,NA,241.266666666667,89.2084666666667,212.4964,0.907580878802511,1.83333333333333,-2.81666666666667,-4.7
1984,12,0.816129032258065,12.0290322580645,4.41290322580645,78.74,TRUE,NA,240.483870967742,80.5885806451613,229.402967741935,2.42575477510783,2.51612903225806,-3.07096774193548,-2.28709677419355
1985,1,-0.332258064516129,9.19677419354839,1.99354838709677,22.104,TRUE,NA,240.258064516129,72.1018064516129,259.923935483871,0.966929133858268,1.16774193548387,-6.10322580645161,-4.90645161290323
1985,2,1.35714285714286,12.6428571428571,5.08571428571429,35.814,TRUE,NA,241.714285714286,96.3355,263.271,1.8291113381001,1.45714285714286,-4.95714285714286,-3.71428571428572
1985,3,4.75806451612903,17.258064516129,11.841935483871,9.398,TRUE,NA,247.451612903226,107.062903225806,278.302064516129,0.580123456790123,2.45806451612903,-3.74193548387097,0.141935483870968
1985,4,8.35,23.0166666666667,17.1966666666667,26.162,TRUE,NA,250.366666666667,111.274933333333,279.357666666667,2.9865296803653,3.05,-2.38333333333333,1.79666666666667
1985,5,12.4838709677419,27.4354838709677,22.03,0,TRUE,NA,251.548387096774,133.470709677419,277.56464516129,0,2.48387096774194,-2.76451612903226,1.93
1985,6,17.3,32.1333333333333,27.6266666666667,38.608,TRUE,NA,252,133.356,282.6512,3.42573203194321,2.4,-2.36666666666667,2.92666666666667
1985,7,18.0645161290323,31.8870967741935,25.558064516129,93.98,TRUE,NA,252,133.356,297.024322580645,1.2510649627263,-0.13548387096774,-2.31290322580645,-0.641935483870967
1985,8,17.058064516129,29.1774193548387,24.1161290322581,81.28,TRUE,NA,252,133.356,378.500967741935,1.25065394676104,-0.341935483870966,-3.22258064516129,-0.783870967741933
1985,9,13.7333333333333,26,18.9275862068966,71.12,TRUE,NA,252.033333333333,133.356,365.76,2.20800993480286,-0.566666666666668,-4.9,-3.67241379310345
1985,10,9.65483870967742,20.641935483871,13.0161290322581,106.426,TRUE,NA,257.258064516129,129.160903225806,436.830838709677,3.35728706624606,1.65483870967742,-5.55806451612903,-4.08387096774194
1985,11,4.70666666666667,16.4366666666667,7.36333333333333,12.192,TRUE,NA,260.8,113.273066666667,467.2584,0.588701110574602,2.90666666666667,-3.66333333333333,-3.53666666666667
1985,12,-1.44193548387097,14.0354838709677,2.61612903225806,7.62,TRUE,NA,264.451612903226,90.9543870967742,452.546064516129,0.234750462107209,0.258064516129032,-1.06451612903226,-4.08387096774194
1986,1,-0.387096774193548,21.741935483871,4.89032258064516,2.032,TRUE,NA,261,80.9491612903226,418.854193548387,0.0888888888888889,1.11290322580645,6.44193548387097,-2.00967741935484
1986,2,3.11428571428571,18.0642857142857,8.33571428571429,24.892,TRUE,NA,262.678571428571,72.5442142857143,416.941,1.27129724208376,3.21428571428571,0.464285714285712,-0.464285714285715
1986,3,4.7258064516129,19.5451612903226,12.8129032258065,33.288,FALSE,NA,260.387096774194,84.7690967741935,401.942709677419,2.05481481481481,2.4258064516129,-1.45483870967742,1.11290322580645
1986,4,8.84333333333333,24.73,18.1566666666667,0,TRUE,NA,258.3,95.1454666666667,398.78,0,3.54333333333333,-0.669999999999998,2.75666666666667
1986,5,12.4677419354839,27.9032258064516,22.5612903225806,5.842,TRUE,NA,260,72.658,400.484258064516,0.799179206566347,2.46774193548387,-2.29677419354839,2.46129032258064
1986,6,16.85,30.95,25.6066666666667,13.462,TRUE,NA,260,72.658,397.679333333333,1.19449866903283,1.95,-3.55,0.906666666666666
1986,7,17.0967741935484,28.6774193548387,23.9774193548387,68.326,TRUE,NA,260,72.658,398.132709677419,0.909558040468583,-1.10322580645161,-5.52258064516129,-2.22258064516129
1986,8,17.6774193548387,29.5,22.8193548387097,62.992,TRUE,NA,260,72.658,315.492580645161,0.969256808739806,0.27741935483871,-2.9,-2.08064516129032
1986,9,14.15,27.5366666666667,19.4333333333333,40.386,TRUE,NA,260,72.658,315.053133333333,1.25383421297734,-0.15,-3.36333333333333,-3.16666666666667
1986,10,8.31290322580645,21.8967741935484,12.5322580645161,62.738,TRUE,NA,259.548387096774,72.658,281.554903225806,1.9791167192429,0.312903225806451,-4.30322580645161,-4.56774193548387
1986,11,2.34333333333333,14.2466666666667,6.65,6.096,TRUE,NA,254.266666666667,71.5234666666667,261.62,0.294350555287301,0.543333333333333,-5.85333333333334,-4.25
1986,12,1.75806451612903,10.2096774193548,2.24516129032258,11.176,TRUE,NA,253.290322580645,69.6427741935484,261.62,0.34430067775724,3.45806451612903,-4.89032258064516,-4.45483870967742
1987,1,-3.66451612903226,12.1322580645161,2.66451612903226,2.308,FALSE,NA,254.806451612903,68.3325161290323,261.611806451613,0.100962379702537,-2.16451612903226,-3.16774193548387,-4.23548387096774
1987,2,1.96785714285714,15.35,5.63928571428571,23.876,FALSE,NA,253.071428571429,56.2062857142857,261.892142857143,1.2194075587334,2.06785714285714,-2.25,-3.16071428571429
1987,3,4.85161290322581,18.4451612903226,10.041935483871,3.556,TRUE,NA,253.516129032258,51.4272903225806,262.857225806452,0.219506172839506,2.55161290322581,-2.55483870967742,-1.65806451612903
1987,4,8.77333333333333,22.62,16.7766666666667,17.78,TRUE,NA,251.866666666667,40.1794,268.139333333333,2.0296803652968,3.47333333333333,-2.78,1.37666666666667
1987,5,11.7096774193548,26.0032258064516,18.6193548387097,9.652,TRUE,NA,253,40.408,280.522516129032,1.3203830369357,1.70967741935484,-4.19677419354839,-1.48064516129032
1987,6,15.3233333333333,31.45,25.7566666666667,7.62,TRUE,NA,253,40.408,280.221266666667,0.676131322094055,0.423333333333334,-3.05,1.05666666666667
1987,7,19.8677419354839,33.8806451612903,26.1064516129032,89.408,TRUE,NA,253,40.408,245.077225806452,1.190202342918,1.66774193548387,-0.319354838709678,-0.0935483870967744
1987,8,17.4483870967742,30.2354838709677,22.1709677419355,53.594,TRUE,NA,253,40.408,287.265806451613,0.824649946145561,0.0483870967741957,-2.16451612903226,-2.72903225806451
1987,9,15.2066666666667,27.68,18.7033333333333,46.482,TRUE,NA,253,40.408,303.826333333333,1.44309220738901,0.906666666666666,-3.22,-3.89666666666667
1987,10,11.8129032258065,25.8258064516129,15.1064516129032,12.7,TRUE,NA,253.516129032258,40.408,259.612580645161,0.400630914826498,3.81290322580645,-0.374193548387098,-1.99354838709678
1987,11,6.29666666666667,20.6333333333333,6.29666666666667,5.08,TRUE,NA,262.633333333333,40.408,246.041333333333,0.245292129406084,4.49666666666667,0.533333333333331,-4.60333333333333
1987,12,3.13225806451613,14.5709677419355,2.70322580645161,49.53,TRUE,NA,269.838709677419,37.8188387096774,257.515032258065,1.52587800369686,4.83225806451613,-0.529032258064516,-3.99677419354839
1988,1,0.474193548387097,14.3774193548387,2.98387096774194,22.352,TRUE,NA,277.516129032258,52.6156774193548,280.186580645161,0.977777777777778,1.9741935483871,-0.922580645161291,-3.91612903225806
1988,2,2.73793103448276,15.5551724137931,8.06551724137931,33.274,TRUE,NA,278.172413793103,71.3915172413793,286.713448275862,1.69938712972421,2.83793103448276,-2.0448275862069,-0.73448275862069
1988,3,8.85806451612903,24.141935483871,11.98,6.096,TRUE,NA,282.161290322581,63.5,291.485483870968,0.376296296296296,6.55806451612903,3.14193548387097,0.280000000000001
1988,4,13.35,26.62,16.4933333333333,22.606,TRUE,NA,289.766666666667,59.5884,296.147066666667,2.58059360730594,8.05,1.22,1.09333333333333
1988,5,14.9161290322581,29.8935483870968,23.341935483871,0.254,TRUE,NA,290,59.436,294.795677419355,0.0347469220246238,4.91612903225806,-0.306451612903224,3.24193548387097
1988,6,17.6433333333333,32.6066666666667,27.1133333333333,24.384,TRUE,NA,290,59.436,287.9598,2.16362023070098,2.74333333333333,-1.89333333333333,2.41333333333333
1988,7,20.3,31.9935483870968,23.6774193548387,76.708,TRUE,NA,290,59.436,331.363483870968,1.02113951011715,2.1,-2.20645161290323,-2.52258064516129
1988,8,18.8193548387097,29.8161290322581,21.5709677419355,156.464,TRUE,NA,290,59.436,375.420193548387,2.407508847515,1.41935483870968,-2.58387096774193,-3.32903225806452
1988,9,14.93,28.2866666666667,17.95,30.734,TRUE,NA,290,59.436,390.7536,0.95417572182552,0.629999999999999,-2.61333333333333,-4.65
1988,10,12.9161290322581,25.9838709677419,12.6,61.722,TRUE,NA,290.516129032258,59.436,406.662193548387,1.94706624605678,4.91612903225806,-0.216129032258063,-4.5
1988,11,6.15333333333333,20.76,5.99666666666667,8.89,TRUE,NA,290.033333333333,60.9176666666667,425.0944,0.429261226460647,4.35333333333333,0.66,-4.90333333333333
1988,12,1.86129032258065,14.0677419354839,0.983333333333333,16.256,TRUE,NA,282.387096774194,73.0536774193548,409.013741935484,0.500800985828712,3.56129032258065,-1.03225806451613,-5.71666666666667
1989,1,2.47096774193548,14.7903225806452,2.36451612903226,30.226,TRUE,NA,278.483870967742,84.4509032258064,387.309032258065,1.32222222222222,3.97096774193548,-0.509677419354839,-4.53548387096774
1989,2,5.38928571428571,17.95,8.175,6.842,TRUE,NA,285.428571428571,68.0447857142857,379.994714285714,0.349438202247191,5.48928571428571,0.349999999999998,-0.625
1989,3,6.41935483870968,23.0387096774194,13.9645161290323,19.624,TRUE,NA,287.935483870968,63.4730322580645,380.304709677419,1.21135802469136,4.11935483870968,2.03870967741936,2.26451612903226
1989,4,13.4766666666667,28.7933333333333,21.2066666666667,0,TRUE,NA,285,63.744,380.645133333333,0,8.17666666666667,3.39333333333333,5.80666666666667
1989,5,14.9387096774194,30.4451612903226,24.5322580645161,2.794,TRUE,NA,285,63.744,369.343225806452,0.382216142270862,4.93870967741936,0.245161290322581,4.43225806451613
1989,6,17.7583333333333,35.3976666666667,27.7731891025641,0,TRUE,NA,285,63.744,366.742866666667,0,2.85833333333333,0.897666666666666,3.0731891025641
1989,7,19.62,35.01,27.015685483871,93.218,TRUE,NA,285,63.744,329.235806451613,1.24092119275825,1.42,0.809999999999995,0.815685483870968
1989,8,17.7990322580645,30.9909677419355,23.9493279569892,24.13,TRUE,NA,285,63.744,264.818129032258,0.371287890444684,0.399032258064516,-1.40903225806451,-0.950672043010751
1989,9,15.1066666666667,31.347,22.9512222222222,15.494,TRUE,NA,285,63.744,224.375866666667,0.481030735796336,0.806666666666665,0.447000000000003,0.351222222222219
1989,10,9.92877419354839,25.5554838709677,17.3419663978495,28.702,TRUE,NA,284.741935483871,63.744,206.512838709677,0.905425867507886,1.92877419354839,-0.644516129032258,0.24196639784946
1989,11,4.00686666666667,20.763,11.9850055555556,0,TRUE,NA,279.9,62.2623333333333,182.432,0,2.20686666666667,0.662999999999997,1.08500555555555
1989,12,-1.12864516129032,14.9406451612903,6.07656317204301,2.286,TRUE,NA,277.032258064516,43.850064516129,182.432,0.0704251386321627,0.571354838709677,-0.159354838709676,-0.623436827956989
1990,1,-1.10509677419355,14.8443870967742,6.27597446236559,11.43,TRUE,NA,273.516129032258,24.038064516129,182.358258064516,0.5,0.394903225806452,-0.455612903225807,-0.624025537634409
1990,2,0.301285714285714,15.9096428571429,7.83427976190476,20.32,TRUE,NA,266.142857142857,30.0164285714286,183.899928571429,1.03779366700715,0.401285714285714,-1.69035714285714,-0.965720238095239
1990,3,5.756,20.7906451612903,13.2621935483871,4.064,TRUE,NA,257.193548387097,27.4489677419355,185.101935483871,0.250864197530864,3.456,-0.209354838709679,1.5621935483871
1990,4,10.0393333333333,26.148,18.5582291666667,3.556,TRUE,NA,257.066666666667,27.178,176.089733333333,0.405936073059361,4.73933333333333,0.748000000000001,3.15822916666667
