"period","brown_trtmnt","type","year","month","nind","biomass"
1,"dipo_absent","other",1977,7,2,325.0695476
2,"dipo_absent","other",1977,8,1,162.5347738
3,"dipo_absent","other",1977,9,0,0
4,"dipo_absent","other",1977,10,0,0
5,"dipo_absent","other",1977,11,3,0
6,"dipo_absent","other",1977,12,2,0
7,"dipo_absent","other",1978,1,3,162.5347738
8,"dipo_absent","other",1978,2,1,0
9,"dipo_absent","other",1978,3,2,232
10,"dipo_absent","other",1978,4,2,182
11,"dipo_absent","other",1978,5,2,182
12,"dipo_absent","other",1978,6,2,0
13,"dipo_absent","other",1978,7,3,305
14,"dipo_absent","other",1978,8,2,196
15,"dipo_absent","other",1978,9,1,141
16,"dipo_absent","other",1978,10,1,162.5347738
17,"dipo_absent","other",1978,11,2,0
18,"dipo_absent","other",1978,12,1,0
19,"dipo_absent","other",1979,1,3,0
20,"dipo_absent","other",1979,2,2,0
21,"dipo_absent","other",1979,3,4,0
22,"dipo_absent","other",1979,4,3,0
23,"dipo_absent","other",1979,5,2,0
24,"dipo_absent","other",1979,7,1,0
25,"dipo_absent","other",1979,7,0,0
26,"dipo_absent","other",1979,8,1,0
27,"dipo_absent","other",1979,9,1,0
28,"dipo_absent","other",1979,10,1,0
29,"dipo_absent","other",1979,11,0,0
30,"dipo_absent","other",1980,1,0,0
31,"dipo_absent","other",1980,2,0,0
32,"dipo_absent","other",1980,3,0,0
33,"dipo_absent","other",1980,4,1,0
34,"dipo_absent","other",1980,5,2,0
35,"dipo_absent","other",1980,6,1,150
1,"dipo_present","other",1977,7,0,0
2,"dipo_present","other",1977,8,1,162.5347738
3,"dipo_present","other",1977,9,2,325.0695476
4,"dipo_present","other",1977,10,2,325.0695476
5,"dipo_present","other",1977,11,3,487.6043214
6,"dipo_present","other",1977,12,3,487.6043214
7,"dipo_present","other",1978,1,3,487.6043214
8,"dipo_present","other",1978,2,1,197
9,"dipo_present","other",1978,3,1,0
10,"dipo_present","other",1978,4,0,0
11,"dipo_present","other",1978,5,0,0
12,"dipo_present","other",1978,6,0,0
13,"dipo_present","other",1978,7,1,113
14,"dipo_present","other",1978,8,1,189
15,"dipo_present","other",1978,9,3,465
16,"dipo_present","other",1978,10,3,487.6043214
17,"dipo_present","other",1978,11,1,153
18,"dipo_present","other",1978,12,2,392
19,"dipo_present","other",1979,1,0,0
20,"dipo_present","other",1979,2,0,0
21,"dipo_present","other",1979,3,0,0
22,"dipo_present","other",1979,4,2,325
23,"dipo_present","other",1979,5,3,208
24,"dipo_present","other",1979,7,0,0
25,"dipo_present","other",1979,7,1,151
26,"dipo_present","other",1979,8,1,72
27,"dipo_present","other",1979,9,0,0
28,"dipo_present","other",1979,10,2,303
29,"dipo_present","other",1979,11,2,326
30,"dipo_present","other",1980,1,3,448
31,"dipo_present","other",1980,2,1,147
32,"dipo_present","other",1980,3,1,97
33,"dipo_present","other",1980,4,0,0
34,"dipo_present","other",1980,5,2,287
35,"dipo_present","other",1980,6,0,0
1,"dipo_absent","dipo",1977,7,11,555.1997261
2,"dipo_absent","dipo",1977,8,13,675.80357648
3,"dipo_absent","dipo",1977,9,11,772.34632445
4,"dipo_absent","dipo",1977,10,10,407
5,"dipo_absent","dipo",1977,11,0,0
6,"dipo_absent","dipo",1977,12,0,0
7,"dipo_absent","dipo",1978,1,0,0
8,"dipo_absent","dipo",1978,2,3,139
9,"dipo_absent","dipo",1978,3,5,231
10,"dipo_absent","dipo",1978,4,1,47
11,"dipo_absent","dipo",1978,5,1,41
12,"dipo_absent","dipo",1978,6,0,0
13,"dipo_absent","dipo",1978,7,0,0
14,"dipo_absent","dipo",1978,8,0,0
15,"dipo_absent","dipo",1978,9,1,43.52721657
16,"dipo_absent","dipo",1978,10,0,0
17,"dipo_absent","dipo",1978,11,0,0
18,"dipo_absent","dipo",1978,12,0,0
19,"dipo_absent","dipo",1979,1,0,0
20,"dipo_absent","dipo",1979,2,0,0
21,"dipo_absent","dipo",1979,3,0,0
22,"dipo_absent","dipo",1979,4,0,0
23,"dipo_absent","dipo",1979,5,0,0
24,"dipo_absent","dipo",1979,7,0,0
25,"dipo_absent","dipo",1979,7,0,0
26,"dipo_absent","dipo",1979,8,0,0
27,"dipo_absent","dipo",1979,9,0,0
28,"dipo_absent","dipo",1979,10,0,0
29,"dipo_absent","dipo",1979,11,0,0
30,"dipo_absent","dipo",1980,1,0,0
31,"dipo_absent","dipo",1980,2,0,0
32,"dipo_absent","dipo",1980,3,1,45
33,"dipo_absent","dipo",1980,4,0,0
34,"dipo_absent","dipo",1980,5,0,0
35,"dipo_absent","dipo",1980,6,0,0
1,"dipo_present","dipo",1977,7,9,544.54563679
2,"dipo_present","dipo",1977,8,12,659.49120365
3,"dipo_present","dipo",1977,9,14,840.7826812
4,"dipo_present","dipo",1977,10,15,1095.5653624
5,"dipo_present","dipo",1977,11,13,912.9275604
6,"dipo_present","dipo",1977,12,17,1438
7,"dipo_present","dipo",1978,1,12,945
8,"dipo_present","dipo",1978,2,10,794.52721657
9,"dipo_present","dipo",1978,3,11,948.52721657
10,"dipo_present","dipo",1978,4,13,1155.52721657
11,"dipo_present","dipo",1978,5,15,1079
12,"dipo_present","dipo",1978,6,18,1274
13,"dipo_present","dipo",1978,7,19,1375
14,"dipo_present","dipo",1978,8,16,1125
15,"dipo_present","dipo",1978,9,21,1491
16,"dipo_present","dipo",1978,10,17,1176
17,"dipo_present","dipo",1978,11,14,825
18,"dipo_present","dipo",1978,12,10,659
19,"dipo_present","dipo",1979,1,8,545
20,"dipo_present","dipo",1979,2,10,751
21,"dipo_present","dipo",1979,3,10,873.9275604
22,"dipo_present","dipo",1979,4,11,765
23,"dipo_present","dipo",1979,5,12,823
24,"dipo_present","dipo",1979,7,11,821
25,"dipo_present","dipo",1979,7,8,670
26,"dipo_present","dipo",1979,8,9,687
27,"dipo_present","dipo",1979,9,8,511
28,"dipo_present","dipo",1979,10,12,776
29,"dipo_present","dipo",1979,11,13,830
30,"dipo_present","dipo",1980,1,19,1011
31,"dipo_present","dipo",1980,2,13,704
32,"dipo_present","dipo",1980,3,11,751
33,"dipo_present","dipo",1980,4,13,963
34,"dipo_present","dipo",1980,5,13,849
35,"dipo_present","dipo",1980,6,18,1081
1,"dipo_absent","small_granivore",1977,7,0,0
2,"dipo_absent","small_granivore",1977,8,0,0
3,"dipo_absent","small_granivore",1977,9,1,15
4,"dipo_absent","small_granivore",1977,10,1,13
5,"dipo_absent","small_granivore",1977,11,0,0
6,"dipo_absent","small_granivore",1977,12,1,7
7,"dipo_absent","small_granivore",1978,1,1,7
8,"dipo_absent","small_granivore",1978,2,0,0
9,"dipo_absent","small_granivore",1978,3,2,15.899749373
10,"dipo_absent","small_granivore",1978,4,0,0
11,"dipo_absent","small_granivore",1978,5,0,0
12,"dipo_absent","small_granivore",1978,6,1,8
13,"dipo_absent","small_granivore",1978,7,3,30
14,"dipo_absent","small_granivore",1978,8,5,76
15,"dipo_absent","small_granivore",1978,9,7,69
16,"dipo_absent","small_granivore",1978,10,5,46
17,"dipo_absent","small_granivore",1978,11,2,12
18,"dipo_absent","small_granivore",1978,12,2,15
19,"dipo_absent","small_granivore",1979,1,0,0
20,"dipo_absent","small_granivore",1979,2,1,24
21,"dipo_absent","small_granivore",1979,3,0,0
22,"dipo_absent","small_granivore",1979,4,2,33
23,"dipo_absent","small_granivore",1979,5,3,41
24,"dipo_absent","small_granivore",1979,7,4,45
25,"dipo_absent","small_granivore",1979,7,5,62.899749373
26,"dipo_absent","small_granivore",1979,8,1,15
27,"dipo_absent","small_granivore",1979,9,2,23
28,"dipo_absent","small_granivore",1979,10,3,30
29,"dipo_absent","small_granivore",1979,11,6,47
30,"dipo_absent","small_granivore",1980,1,9,78
31,"dipo_absent","small_granivore",1980,2,11,93
32,"dipo_absent","small_granivore",1980,3,13,114.899749373
33,"dipo_absent","small_granivore",1980,4,8,72
34,"dipo_absent","small_granivore",1980,5,4,29
35,"dipo_absent","small_granivore",1980,6,1,11
1,"dipo_present","small_granivore",1977,7,2,35.23702584
2,"dipo_present","small_granivore",1977,8,4,47.518262293
3,"dipo_present","small_granivore",1977,9,1,16
4,"dipo_present","small_granivore",1977,10,1,8
5,"dipo_present","small_granivore",1977,11,2,13
6,"dipo_present","small_granivore",1977,12,1,6
7,"dipo_present","small_granivore",1978,1,0,0
8,"dipo_present","small_granivore",1978,2,0,0
9,"dipo_present","small_granivore",1978,3,0,0
10,"dipo_present","small_granivore",1978,4,0,0
11,"dipo_present","small_granivore",1978,5,2,22
12,"dipo_present","small_granivore",1978,6,2,23
13,"dipo_present","small_granivore",1978,7,2,26
14,"dipo_present","small_granivore",1978,8,1,18
15,"dipo_present","small_granivore",1978,9,4,54
16,"dipo_present","small_granivore",1978,10,2,21
17,"dipo_present","small_granivore",1978,11,0,0
18,"dipo_present","small_granivore",1978,12,0,0
19,"dipo_present","small_granivore",1979,1,0,0
20,"dipo_present","small_granivore",1979,2,0,0
21,"dipo_present","small_granivore",1979,3,0,0
22,"dipo_present","small_granivore",1979,4,0,0
23,"dipo_present","small_granivore",1979,5,0,0
24,"dipo_present","small_granivore",1979,7,0,0
25,"dipo_present","small_granivore",1979,7,1,16
26,"dipo_present","small_granivore",1979,8,0,0
27,"dipo_present","small_granivore",1979,9,1,14
28,"dipo_present","small_granivore",1979,10,1,16
29,"dipo_present","small_granivore",1979,11,3,34
30,"dipo_present","small_granivore",1980,1,2,18
31,"dipo_present","small_granivore",1980,2,2,23
32,"dipo_present","small_granivore",1980,3,3,32.899749373
33,"dipo_present","small_granivore",1980,4,1,8
34,"dipo_present","small_granivore",1980,5,1,8
35,"dipo_present","small_granivore",1980,6,1,7
1,"dipo_absent","small_omnivore",1977,7,1,21.98281643
2,"dipo_absent","small_omnivore",1977,8,0,0
3,"dipo_absent","small_omnivore",1977,9,0,0
4,"dipo_absent","small_omnivore",1977,10,0,0
5,"dipo_absent","small_omnivore",1977,11,3,93.38015931
6,"dipo_absent","small_omnivore",1977,12,4,96.22398308
7,"dipo_absent","small_omnivore",1978,1,3,79.23871131
8,"dipo_absent","small_omnivore",1978,2,4,94.05599577
9,"dipo_absent","small_omnivore",1978,3,4,96.11199154
10,"dipo_absent","small_omnivore",1978,4,1,23
11,"dipo_absent","small_omnivore",1978,5,1,29
12,"dipo_absent","small_omnivore",1978,6,2,41
13,"dipo_absent","small_omnivore",1978,7,0,0
14,"dipo_absent","small_omnivore",1978,8,3,51
15,"dipo_absent","small_omnivore",1978,9,4,92
16,"dipo_absent","small_omnivore",1978,10,2,48
17,"dipo_absent","small_omnivore",1978,11,1,21
18,"dipo_absent","small_omnivore",1978,12,2,51
19,"dipo_absent","small_omnivore",1979,1,1,27
20,"dipo_absent","small_omnivore",1979,2,2,56
21,"dipo_absent","small_omnivore",1979,3,0,0
22,"dipo_absent","small_omnivore",1979,4,1,23
23,"dipo_absent","small_omnivore",1979,5,2,39
24,"dipo_absent","small_omnivore",1979,7,3,66
25,"dipo_absent","small_omnivore",1979,7,3,90
26,"dipo_absent","small_omnivore",1979,8,2,45
27,"dipo_absent","small_omnivore",1979,9,3,104
28,"dipo_absent","small_omnivore",1979,10,5,133
29,"dipo_absent","small_omnivore",1979,11,5,105
30,"dipo_absent","small_omnivore",1980,1,5,118
31,"dipo_absent","small_omnivore",1980,2,4,98
32,"dipo_absent","small_omnivore",1980,3,3,84
33,"dipo_absent","small_omnivore",1980,4,1,36
34,"dipo_absent","small_omnivore",1980,5,1,39
35,"dipo_absent","small_omnivore",1980,6,2,44
1,"dipo_present","small_omnivore",1977,7,0,0
2,"dipo_present","small_omnivore",1977,8,0,0
3,"dipo_present","small_omnivore",1977,9,0,0
4,"dipo_present","small_omnivore",1977,10,0,0
5,"dipo_present","small_omnivore",1977,11,0,0
6,"dipo_present","small_omnivore",1977,12,1,24.05599577
7,"dipo_present","small_omnivore",1978,1,3,79.23871131
8,"dipo_present","small_omnivore",1978,2,0,0
9,"dipo_present","small_omnivore",1978,3,2,64
10,"dipo_present","small_omnivore",1978,4,0,0
11,"dipo_present","small_omnivore",1978,5,0,0
12,"dipo_present","small_omnivore",1978,6,0,0
13,"dipo_present","small_omnivore",1978,7,1,22
14,"dipo_present","small_omnivore",1978,8,0,0
15,"dipo_present","small_omnivore",1978,9,2,44
16,"dipo_present","small_omnivore",1978,10,0,0
17,"dipo_present","small_omnivore",1978,11,6,158
18,"dipo_present","small_omnivore",1978,12,2,55
19,"dipo_present","small_omnivore",1979,1,1,35
20,"dipo_present","small_omnivore",1979,2,2,68
21,"dipo_present","small_omnivore",1979,3,0,0
22,"dipo_present","small_omnivore",1979,4,0,0
23,"dipo_present","small_omnivore",1979,5,0,0
24,"dipo_present","small_omnivore",1979,7,0,0
25,"dipo_present","small_omnivore",1979,7,2,55
26,"dipo_present","small_omnivore",1979,8,4,103
27,"dipo_present","small_omnivore",1979,9,3,78
28,"dipo_present","small_omnivore",1979,10,3,64
29,"dipo_present","small_omnivore",1979,11,2,71
30,"dipo_present","small_omnivore",1980,1,3,83.12671977
31,"dipo_present","small_omnivore",1980,2,3,106
32,"dipo_present","small_omnivore",1980,3,0,0
33,"dipo_present","small_omnivore",1980,4,0,0
34,"dipo_present","small_omnivore",1980,5,1,24
35,"dipo_present","small_omnivore",1980,6,0,0
