"period","type","plot","brown_trtmnt","nind","krat_treatment","okrat_treatment"
1,"dipo","3","dipo_absent",3,"exclosure","exclosure"
2,"dipo","3","dipo_absent",2,"exclosure","exclosure"
3,"dipo","3","dipo_absent",2,"exclosure","exclosure"
4,"dipo","3","dipo_absent",4,"exclosure","exclosure"
8,"dipo","3","dipo_absent",0,"exclosure","exclosure"
9,"dipo","3","dipo_absent",0,"exclosure","exclosure"
10,"dipo","3","dipo_absent",0,"exclosure","exclosure"
11,"dipo","3","dipo_absent",0,"exclosure","exclosure"
15,"dipo","3","dipo_absent",1,"exclosure","exclosure"
32,"dipo","3","dipo_absent",0,"exclosure","exclosure"
5,"dipo","3","dipo_absent",0,"exclosure","exclosure"
6,"dipo","3","dipo_absent",0,"exclosure","exclosure"
7,"dipo","3","dipo_absent",0,"exclosure","exclosure"
12,"dipo","3","dipo_absent",0,"exclosure","exclosure"
13,"dipo","3","dipo_absent",0,"exclosure","exclosure"
14,"dipo","3","dipo_absent",0,"exclosure","exclosure"
16,"dipo","3","dipo_absent",0,"exclosure","exclosure"
17,"dipo","3","dipo_absent",0,"exclosure","exclosure"
18,"dipo","3","dipo_absent",0,"exclosure","exclosure"
19,"dipo","3","dipo_absent",0,"exclosure","exclosure"
20,"dipo","3","dipo_absent",0,"exclosure","exclosure"
21,"dipo","3","dipo_absent",0,"exclosure","exclosure"
22,"dipo","3","dipo_absent",0,"exclosure","exclosure"
23,"dipo","3","dipo_absent",0,"exclosure","exclosure"
24,"dipo","3","dipo_absent",0,"exclosure","exclosure"
25,"dipo","3","dipo_absent",0,"exclosure","exclosure"
26,"dipo","3","dipo_absent",0,"exclosure","exclosure"
27,"dipo","3","dipo_absent",0,"exclosure","exclosure"
28,"dipo","3","dipo_absent",0,"exclosure","exclosure"
29,"dipo","3","dipo_absent",0,"exclosure","exclosure"
30,"dipo","3","dipo_absent",0,"exclosure","exclosure"
31,"dipo","3","dipo_absent",0,"exclosure","exclosure"
33,"dipo","3","dipo_absent",0,"exclosure","exclosure"
34,"dipo","3","dipo_absent",0,"exclosure","exclosure"
35,"dipo","3","dipo_absent",0,"exclosure","exclosure"
1,"other","3","dipo_absent",1,"exclosure","exclosure"
2,"other","3","dipo_absent",0,"exclosure","exclosure"
3,"other","3","dipo_absent",0,"exclosure","exclosure"
4,"other","3","dipo_absent",0,"exclosure","exclosure"
8,"other","3","dipo_absent",0,"exclosure","exclosure"
9,"other","3","dipo_absent",1,"exclosure","exclosure"
10,"other","3","dipo_absent",1,"exclosure","exclosure"
11,"other","3","dipo_absent",1,"exclosure","exclosure"
15,"other","3","dipo_absent",1,"exclosure","exclosure"
32,"other","3","dipo_absent",0,"exclosure","exclosure"
5,"other","3","dipo_absent",1,"exclosure","exclosure"
6,"other","3","dipo_absent",0,"exclosure","exclosure"
7,"other","3","dipo_absent",1,"exclosure","exclosure"
12,"other","3","dipo_absent",0,"exclosure","exclosure"
13,"other","3","dipo_absent",2,"exclosure","exclosure"
14,"other","3","dipo_absent",1,"exclosure","exclosure"
16,"other","3","dipo_absent",1,"exclosure","exclosure"
17,"other","3","dipo_absent",1,"exclosure","exclosure"
18,"other","3","dipo_absent",0,"exclosure","exclosure"
19,"other","3","dipo_absent",0,"exclosure","exclosure"
20,"other","3","dipo_absent",0,"exclosure","exclosure"
21,"other","3","dipo_absent",1,"exclosure","exclosure"
22,"other","3","dipo_absent",1,"exclosure","exclosure"
23,"other","3","dipo_absent",1,"exclosure","exclosure"
24,"other","3","dipo_absent",0,"exclosure","exclosure"
25,"other","3","dipo_absent",0,"exclosure","exclosure"
26,"other","3","dipo_absent",0,"exclosure","exclosure"
27,"other","3","dipo_absent",0,"exclosure","exclosure"
28,"other","3","dipo_absent",0,"exclosure","exclosure"
29,"other","3","dipo_absent",0,"exclosure","exclosure"
30,"other","3","dipo_absent",0,"exclosure","exclosure"
31,"other","3","dipo_absent",0,"exclosure","exclosure"
33,"other","3","dipo_absent",0,"exclosure","exclosure"
34,"other","3","dipo_absent",0,"exclosure","exclosure"
35,"other","3","dipo_absent",1,"exclosure","exclosure"
1,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
2,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
3,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
4,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
8,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
9,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
10,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
11,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
15,"small_granivore","3","dipo_absent",2,"exclosure","exclosure"
32,"small_granivore","3","dipo_absent",4,"exclosure","exclosure"
5,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
6,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
7,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
12,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
13,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
14,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
16,"small_granivore","3","dipo_absent",3,"exclosure","exclosure"
17,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
18,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
19,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
20,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
21,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
22,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
23,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
24,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
25,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
26,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
27,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
28,"small_granivore","3","dipo_absent",2,"exclosure","exclosure"
29,"small_granivore","3","dipo_absent",3,"exclosure","exclosure"
30,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
31,"small_granivore","3","dipo_absent",5,"exclosure","exclosure"
33,"small_granivore","3","dipo_absent",3,"exclosure","exclosure"
34,"small_granivore","3","dipo_absent",1,"exclosure","exclosure"
35,"small_granivore","3","dipo_absent",0,"exclosure","exclosure"
1,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
2,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
3,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
4,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
8,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
9,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
10,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
11,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
15,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
32,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
5,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
6,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
7,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
12,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
13,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
14,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
16,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
17,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
18,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
19,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
20,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
21,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
22,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
23,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
24,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
25,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
26,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
27,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
28,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
29,"small_omnivore","3","dipo_absent",2,"exclosure","exclosure"
30,"small_omnivore","3","dipo_absent",1,"exclosure","exclosure"
31,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
33,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
34,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
35,"small_omnivore","3","dipo_absent",0,"exclosure","exclosure"
1,"dipo","15","dipo_absent",3,"exclosure","exclosure"
2,"dipo","15","dipo_absent",6,"exclosure","exclosure"
3,"dipo","15","dipo_absent",4,"exclosure","exclosure"
4,"dipo","15","dipo_absent",1,"exclosure","exclosure"
8,"dipo","15","dipo_absent",3,"exclosure","exclosure"
9,"dipo","15","dipo_absent",5,"exclosure","exclosure"
10,"dipo","15","dipo_absent",1,"exclosure","exclosure"
11,"dipo","15","dipo_absent",1,"exclosure","exclosure"
15,"dipo","15","dipo_absent",0,"exclosure","exclosure"
32,"dipo","15","dipo_absent",1,"exclosure","exclosure"
5,"dipo","15","dipo_absent",0,"exclosure","exclosure"
6,"dipo","15","dipo_absent",0,"exclosure","exclosure"
7,"dipo","15","dipo_absent",0,"exclosure","exclosure"
12,"dipo","15","dipo_absent",0,"exclosure","exclosure"
13,"dipo","15","dipo_absent",0,"exclosure","exclosure"
14,"dipo","15","dipo_absent",0,"exclosure","exclosure"
16,"dipo","15","dipo_absent",0,"exclosure","exclosure"
17,"dipo","15","dipo_absent",0,"exclosure","exclosure"
18,"dipo","15","dipo_absent",0,"exclosure","exclosure"
19,"dipo","15","dipo_absent",0,"exclosure","exclosure"
20,"dipo","15","dipo_absent",0,"exclosure","exclosure"
21,"dipo","15","dipo_absent",0,"exclosure","exclosure"
22,"dipo","15","dipo_absent",0,"exclosure","exclosure"
23,"dipo","15","dipo_absent",0,"exclosure","exclosure"
24,"dipo","15","dipo_absent",0,"exclosure","exclosure"
25,"dipo","15","dipo_absent",0,"exclosure","exclosure"
26,"dipo","15","dipo_absent",0,"exclosure","exclosure"
27,"dipo","15","dipo_absent",0,"exclosure","exclosure"
28,"dipo","15","dipo_absent",0,"exclosure","exclosure"
29,"dipo","15","dipo_absent",0,"exclosure","exclosure"
30,"dipo","15","dipo_absent",0,"exclosure","exclosure"
31,"dipo","15","dipo_absent",0,"exclosure","exclosure"
33,"dipo","15","dipo_absent",0,"exclosure","exclosure"
34,"dipo","15","dipo_absent",0,"exclosure","exclosure"
35,"dipo","15","dipo_absent",0,"exclosure","exclosure"
1,"other","15","dipo_absent",1,"exclosure","exclosure"
2,"other","15","dipo_absent",1,"exclosure","exclosure"
3,"other","15","dipo_absent",0,"exclosure","exclosure"
4,"other","15","dipo_absent",0,"exclosure","exclosure"
8,"other","15","dipo_absent",0,"exclosure","exclosure"
9,"other","15","dipo_absent",0,"exclosure","exclosure"
10,"other","15","dipo_absent",0,"exclosure","exclosure"
11,"other","15","dipo_absent",0,"exclosure","exclosure"
15,"other","15","dipo_absent",0,"exclosure","exclosure"
32,"other","15","dipo_absent",0,"exclosure","exclosure"
5,"other","15","dipo_absent",1,"exclosure","exclosure"
6,"other","15","dipo_absent",1,"exclosure","exclosure"
7,"other","15","dipo_absent",1,"exclosure","exclosure"
12,"other","15","dipo_absent",1,"exclosure","exclosure"
13,"other","15","dipo_absent",0,"exclosure","exclosure"
14,"other","15","dipo_absent",1,"exclosure","exclosure"
16,"other","15","dipo_absent",0,"exclosure","exclosure"
17,"other","15","dipo_absent",1,"exclosure","exclosure"
18,"other","15","dipo_absent",1,"exclosure","exclosure"
19,"other","15","dipo_absent",1,"exclosure","exclosure"
20,"other","15","dipo_absent",0,"exclosure","exclosure"
21,"other","15","dipo_absent",1,"exclosure","exclosure"
22,"other","15","dipo_absent",0,"exclosure","exclosure"
23,"other","15","dipo_absent",0,"exclosure","exclosure"
24,"other","15","dipo_absent",0,"exclosure","exclosure"
25,"other","15","dipo_absent",0,"exclosure","exclosure"
26,"other","15","dipo_absent",0,"exclosure","exclosure"
27,"other","15","dipo_absent",0,"exclosure","exclosure"
28,"other","15","dipo_absent",0,"exclosure","exclosure"
29,"other","15","dipo_absent",0,"exclosure","exclosure"
30,"other","15","dipo_absent",0,"exclosure","exclosure"
31,"other","15","dipo_absent",0,"exclosure","exclosure"
33,"other","15","dipo_absent",0,"exclosure","exclosure"
34,"other","15","dipo_absent",0,"exclosure","exclosure"
35,"other","15","dipo_absent",0,"exclosure","exclosure"
1,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
2,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
3,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
4,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
8,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
9,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
10,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
11,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
15,"small_granivore","15","dipo_absent",2,"exclosure","exclosure"
32,"small_granivore","15","dipo_absent",3,"exclosure","exclosure"
5,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
6,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
7,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
12,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
13,"small_granivore","15","dipo_absent",2,"exclosure","exclosure"
14,"small_granivore","15","dipo_absent",1,"exclosure","exclosure"
16,"small_granivore","15","dipo_absent",2,"exclosure","exclosure"
17,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
18,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
19,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
20,"small_granivore","15","dipo_absent",1,"exclosure","exclosure"
21,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
22,"small_granivore","15","dipo_absent",2,"exclosure","exclosure"
23,"small_granivore","15","dipo_absent",2,"exclosure","exclosure"
24,"small_granivore","15","dipo_absent",2,"exclosure","exclosure"
25,"small_granivore","15","dipo_absent",4,"exclosure","exclosure"
26,"small_granivore","15","dipo_absent",1,"exclosure","exclosure"
27,"small_granivore","15","dipo_absent",1,"exclosure","exclosure"
28,"small_granivore","15","dipo_absent",1,"exclosure","exclosure"
29,"small_granivore","15","dipo_absent",1,"exclosure","exclosure"
30,"small_granivore","15","dipo_absent",3,"exclosure","exclosure"
31,"small_granivore","15","dipo_absent",3,"exclosure","exclosure"
33,"small_granivore","15","dipo_absent",3,"exclosure","exclosure"
34,"small_granivore","15","dipo_absent",3,"exclosure","exclosure"
35,"small_granivore","15","dipo_absent",0,"exclosure","exclosure"
1,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
2,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
3,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
4,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
8,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
9,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
10,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
11,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
15,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
32,"small_omnivore","15","dipo_absent",2,"exclosure","exclosure"
5,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
6,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
7,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
12,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
13,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
14,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
16,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
17,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
18,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
19,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
20,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
21,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
22,"small_omnivore","15","dipo_absent",1,"exclosure","exclosure"
23,"small_omnivore","15","dipo_absent",2,"exclosure","exclosure"
24,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
25,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
26,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
27,"small_omnivore","15","dipo_absent",0,"exclosure","exclosure"
28,"small_omnivore","15","dipo_absent",1,"exclosure","exclosure"
29,"small_omnivore","15","dipo_absent",2,"exclosure","exclosure"
30,"small_omnivore","15","dipo_absent",1,"exclosure","exclosure"
31,"small_omnivore","15","dipo_absent",2,"exclosure","exclosure"
33,"small_omnivore","15","dipo_absent",1,"exclosure","exclosure"
34,"small_omnivore","15","dipo_absent",1,"exclosure","exclosure"
35,"small_omnivore","15","dipo_absent",1,"exclosure","exclosure"
1,"dipo","19","dipo_absent",3,"exclosure","exclosure"
2,"dipo","19","dipo_absent",2,"exclosure","exclosure"
3,"dipo","19","dipo_absent",3,"exclosure","exclosure"
4,"dipo","19","dipo_absent",4,"exclosure","exclosure"
8,"dipo","19","dipo_absent",0,"exclosure","exclosure"
9,"dipo","19","dipo_absent",0,"exclosure","exclosure"
10,"dipo","19","dipo_absent",0,"exclosure","exclosure"
11,"dipo","19","dipo_absent",0,"exclosure","exclosure"
15,"dipo","19","dipo_absent",0,"exclosure","exclosure"
32,"dipo","19","dipo_absent",0,"exclosure","exclosure"
5,"dipo","19","dipo_absent",0,"exclosure","exclosure"
6,"dipo","19","dipo_absent",0,"exclosure","exclosure"
7,"dipo","19","dipo_absent",0,"exclosure","exclosure"
12,"dipo","19","dipo_absent",0,"exclosure","exclosure"
13,"dipo","19","dipo_absent",0,"exclosure","exclosure"
14,"dipo","19","dipo_absent",0,"exclosure","exclosure"
16,"dipo","19","dipo_absent",0,"exclosure","exclosure"
17,"dipo","19","dipo_absent",0,"exclosure","exclosure"
18,"dipo","19","dipo_absent",0,"exclosure","exclosure"
19,"dipo","19","dipo_absent",0,"exclosure","exclosure"
20,"dipo","19","dipo_absent",0,"exclosure","exclosure"
21,"dipo","19","dipo_absent",0,"exclosure","exclosure"
22,"dipo","19","dipo_absent",0,"exclosure","exclosure"
23,"dipo","19","dipo_absent",0,"exclosure","exclosure"
24,"dipo","19","dipo_absent",0,"exclosure","exclosure"
25,"dipo","19","dipo_absent",0,"exclosure","exclosure"
26,"dipo","19","dipo_absent",0,"exclosure","exclosure"
27,"dipo","19","dipo_absent",0,"exclosure","exclosure"
28,"dipo","19","dipo_absent",0,"exclosure","exclosure"
29,"dipo","19","dipo_absent",0,"exclosure","exclosure"
30,"dipo","19","dipo_absent",0,"exclosure","exclosure"
31,"dipo","19","dipo_absent",0,"exclosure","exclosure"
33,"dipo","19","dipo_absent",0,"exclosure","exclosure"
34,"dipo","19","dipo_absent",0,"exclosure","exclosure"
35,"dipo","19","dipo_absent",0,"exclosure","exclosure"
1,"other","19","dipo_absent",0,"exclosure","exclosure"
2,"other","19","dipo_absent",0,"exclosure","exclosure"
3,"other","19","dipo_absent",0,"exclosure","exclosure"
4,"other","19","dipo_absent",0,"exclosure","exclosure"
8,"other","19","dipo_absent",1,"exclosure","exclosure"
9,"other","19","dipo_absent",1,"exclosure","exclosure"
10,"other","19","dipo_absent",1,"exclosure","exclosure"
11,"other","19","dipo_absent",1,"exclosure","exclosure"
15,"other","19","dipo_absent",0,"exclosure","exclosure"
32,"other","19","dipo_absent",0,"exclosure","exclosure"
5,"other","19","dipo_absent",1,"exclosure","exclosure"
6,"other","19","dipo_absent",1,"exclosure","exclosure"
7,"other","19","dipo_absent",1,"exclosure","exclosure"
12,"other","19","dipo_absent",1,"exclosure","exclosure"
13,"other","19","dipo_absent",1,"exclosure","exclosure"
14,"other","19","dipo_absent",0,"exclosure","exclosure"
16,"other","19","dipo_absent",0,"exclosure","exclosure"
17,"other","19","dipo_absent",0,"exclosure","exclosure"
18,"other","19","dipo_absent",0,"exclosure","exclosure"
19,"other","19","dipo_absent",1,"exclosure","exclosure"
20,"other","19","dipo_absent",1,"exclosure","exclosure"
21,"other","19","dipo_absent",1,"exclosure","exclosure"
22,"other","19","dipo_absent",1,"exclosure","exclosure"
23,"other","19","dipo_absent",1,"exclosure","exclosure"
24,"other","19","dipo_absent",1,"exclosure","exclosure"
25,"other","19","dipo_absent",0,"exclosure","exclosure"
26,"other","19","dipo_absent",1,"exclosure","exclosure"
27,"other","19","dipo_absent",1,"exclosure","exclosure"
28,"other","19","dipo_absent",0,"exclosure","exclosure"
29,"other","19","dipo_absent",0,"exclosure","exclosure"
30,"other","19","dipo_absent",0,"exclosure","exclosure"
31,"other","19","dipo_absent",0,"exclosure","exclosure"
33,"other","19","dipo_absent",0,"exclosure","exclosure"
34,"other","19","dipo_absent",1,"exclosure","exclosure"
35,"other","19","dipo_absent",0,"exclosure","exclosure"
1,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
2,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
3,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
4,"small_granivore","19","dipo_absent",1,"exclosure","exclosure"
8,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
9,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
10,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
11,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
15,"small_granivore","19","dipo_absent",1,"exclosure","exclosure"
32,"small_granivore","19","dipo_absent",3,"exclosure","exclosure"
5,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
6,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
7,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
12,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
13,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
14,"small_granivore","19","dipo_absent",2,"exclosure","exclosure"
16,"small_granivore","19","dipo_absent",0,"exclosure","exclosure"
17,"small_granivore","19","dipo_absent",1,"exclosure","exclosure"
